Код услуг	Наименование медицинских услуг
A26.08.046.001	Определение РНК коронавируса ТОРС (SARS-cov) в мазках со слизистой оболочки ротоглотки методом ПЦР
A26.08.047	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на коронавирус БВРС (MERS-cov)
A26.08.047.001	Определение РНК коронавируса БВРС (MERS-cov) в мазках со слизистой оболочки ротоглотки методом ПЦР
A26.08.048	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на Mycoplasma pneumoniae
A26.08.048.001	Определение ДНК Mycoplasma pneumoniae в мазках со слизистой оболочки ротоглотки методом ПЦР
A26.08.049	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на Chlamydophila pneumoniae
A26.08.049.001	Определение ДНК Chlamydophila pneumoniae в мазках со слизистой оболочки ротоглотки методом ПЦР
A26.08.050	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на возбудителей коклюша (Bordetella pertussis, Bordetella parapertussis, Bordetella bronchiseprica)
A26.08.050.001	Определение ДНК возбудителей коклюша (Bordetella pertussis, Bordetella parapertussis, Bordetella bronchiseprica) в мазках со слизистой оболочки ротоглотки методом ПЦР
A26.08.051	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на возбудителя дифтерии (Corynebacterium diphtheriae)
A26.08.051.001	Определение ДНК возбудителя дифтерии (Corynebacterium diphtheriae) в мазках со слизистой оболочки ротоглотки методом ПЦР
A26.08.052	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на Streptococcus pneumoniae
A26.08.052.001	Определение ДНК Streptococcus pneumoniae в мазках со слизистой оболочки ротоглотки методом ПЦР, количественное исследование
A26.08.053	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на Haemophilus influenzae
A26.08.053.001	Определение ДНК Haemophilus influenzae в мазках со слизистой оболочки ротоглотки методом ПЦР, количественное исследование
A26.08.054	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на Moraxella catarrhalis
A26.08.054.001	Определение ДНК Moraxella catarrhalis в мазках со слизистой оболочки ротоглотки методом ПЦР, количественное исследование
A26.08.055	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на Staphylococcus aureus
A26.08.055.001	Определение ДНК Staphylococcus aureus в мазках со слизистой оболочки ротоглотки методом ПЦР, количественное исследование
A26.08.056	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на Streptococcus pyogenes
A26.08.056.001	Определение ДНК Streptococcus pyogenes в мазках со слизистой оболочки ротоглотки методом ПЦР, количественное исследование
A26.08.057	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на парвовирус B19 (Parvovirus B19)
A26.08.057.001	Определение ДНК парвовируса B19 (Parvovirus B19) в мазках со слизистой оболочки ротоглотки методом ПЦР, качественное исследование
A26.08.057.002	Определение ДНК парвовируса B19 (Parvovirus B19) в мазках со слизистой оболочки ротоглотки методом ПЦР, количественное исследование
A26.08.058	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на цитомегаловирус (Cytomegalovirus)
A26.08.058.001	Определение ДНК цитомегаловируса (Cytomegalovirus) в мазках со слизистой оболочки ротоглотки методом ПЦР, качественное исследование
A26.08.058.002	Определение ДНК цитомегаловируса (Cytomegalovirus) в мазках со слизистой оболочки ротоглотки методом ПЦР, количественное исследование
A26.08.059	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на вирус Эпштейна-Барр (Epstein - Barr virus)
A26.08.059.001	Определение ДНК вируса Эпштейна-Барр (Epstein - Barr virus) в мазках со слизистой оболочки ротоглотки методом ПЦР, качественное исследование
A26.08.059.002	Определение ДНК вируса Эпштейна-Барр (Epstein - Barr virus) в мазках со слизистой оболочки ротоглотки методом ПЦР, количественное исследование
A26.08.060	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на вирус герпеса 6 типа (HHV6)
A26.08.060.001	Определение ДНК вируса герпеса 6 типа (HHV6) в мазках со слизистой оболочки ротоглотки методом ПЦР, качественное исследование
A26.08.060.002	Определение ДНК вируса герпеса 6 типа (HHV6) в мазках со слизистой оболочки ротоглотки методом ПЦР, количественное исследование
A26.08.061	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на Pneumocystis jirovecii (carinii)
A26.08.061.001	Определение ДНК Pneumocystis jirovecii (carinii) в мазках со слизистой оболочки ротоглотки методом ПЦР
A26.08.062	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на Pseudomonas aeruginosa
A26.08.062.001	Определение ДНК Pseudomonas aeruginosa в мазках со слизистой оболочки ротоглотки методом ПЦР
A26.08.063	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки для выявления РНК вируса краснухи (Rubella virus)
A26.08.063.001	Определение РНК вируса краснухи (Rubella virus) в мазках со слизистой оболочки ротоглотки методом ПЦР
A26.08.064	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на менингококк (Neisseria meningitidis)
A26.08.064.001	Определение ДНК менингококка (Neisseria meningitidis) в мазках со слизистой оболочки ротоглотки методом ПЦР
A26.08.066	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на хламидию трахоматис (Chlamydia trachomatis)
A26.08.066.001	Определение ДНК хламидии трахоматис (Chlamydia trachomatis) в мазках со слизистой оболочки ротоглотки методом ПЦР
A26.08.067	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на гонококк (Neisseria gonorrhoeae)
A26.08.067.001	Определение ДНК гонококка (Neisseria gonorrhoeae) в мазках со слизистой оболочки ротоглотки методом ПЦР
A26.08.068	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки на метициллин-чувствительные и метициллин-резистентные Staphylococcus aureus, метициллин-резистентные коагулазонегативные Staphylococcus spp.
A26.08.068.001	Определение ДНК метициллин-чувствительных и метициллин-резистентных Staphylococcus aureus, метициллин-резистентных коагулазонегативных Staphylococcus spp. в мазках со слизистой оболочки ротоглотки методом ПЦР, качественное исследование
A26.08.068.002	Определение ДНК метициллин-чувствительных и метициллин-резистентных Staphylococcus aureus, метициллин-резистентных коагулазонегативных Staphylococcus spp. в мазках со слизистой оболочки ротоглотки методом ПЦР, количественное исследование
A26.08.069	Молекулярно-биологическое исследование мазков со слизистой оболочки ротоглотки для выявления генов приобретенных карбапенемаз бактерий
A26.08.069.001	Выявление генов приобретенных карбапенемаз класса металло-лактамаз (МБЛ) групп VIM, IMP и NDM в мазках со слизистой оболочки ротоглотки методом ПЦР
A26.08.069.002	Выявление генов приобретенных карбапенемаз групп KPC и OXA-48-подобных в мазках со слизистой оболочки ротоглотки методом ПЦР
A26.08.070	Иммунохроматографическое экспресс-исследование мазка из зева на стрептококки группы A
A26.08.071	Иммунохроматографическое экспресс-исследование мазка из зева, носоглоточного аспирата или назального смыва на аденовирус
A26.08.072	Иммунохроматографическое экспресс-исследование носоглоточного мазка на вирус гриппа A
A26.08.073	Иммунохроматографическое экспресс-исследование носоглоточного мазка на вирус гриппа B
A26.08.074	Молекулярно-биологическое исследование нативного препарата верхних дыхательных путей или парафинового блока на Mycobacterium tuberculosis complex (микобактерий туберкулеза)
A26.08.074.001	Определение ДНК микобактерий туберкулеза (Mycobacterium tuberculosis complex) в нативном препарате верхних дыхательных путей или парафиновом блоке
A26.08.075	Молекулярно-биологическое исследование нативного препарата верхних дыхательных путей или парафинового блока для дифференциации видов Mycobacterium tuberculosis complex (M. tuberculosis, M. bovis, M. bovis BCG)
A26.08.075.001	Определение ДНК Mycobacterium tuberculosis complex (M. tuberculosis, M. bovis, M. bovis BCG) с дифференциацией вида в нативном препарате верхних дыхательных путей или парафиновом блоке методом ПЦР
A26.09.001	Микроскопическое исследование мокроты на микобактерии (Mycobacterium spp.)
A26.09.002	Микробиологическое (культуральное) исследование мокроты на микобактерии туберкулеза (Mycobacterium tuberculosis complex)
A26.09.002.001	Микробиологическое (культуральное) исследование мокроты на плотных питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)
A26.09.002.002	Микробиологическое (культуральное) исследование мокроты на жидких питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)
A26.09.003	Микробиологическое (культуральное) исследование плевральной жидкости на микобактерии туберкулеза (Mycobacterium tuberculosis complex)
A26.09.003.001	Микробиологическое (культуральное) исследование плевральной жидкости на плотных питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)
A26.09.003.002	Микробиологическое (культуральное) исследование плевральной жидкости на жидких питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)
A26.09.004	Микробиологическое (культуральное) исследование бронхоальвеолярной жидкости на микобактерии туберкулеза (Mycobacterium tuberculosis complex)
A26.09.004.001	Микробиологическое (культуральное) исследование бронхоальвеолярной жидкости на плотных питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)
A26.09.004.002	Микробиологическое (культуральное) исследование бронхоальвеолярной жидкости на жидких питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)
A26.09.005	Микробиологическое (культуральное) исследование бронхо-легочной ткани на микобактерии туберкулеза (Mycobacterium tuberculosis complex)
A26.09.005.001	Микробиологическое (культуральное) исследование бронхо-легочной ткани на плотных питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)
A26.09.005.002	Микробиологическое (культуральное) исследование бронхо-легочной ткани на жидких питательных средах на микобактерии туберкулеза (Mycobacterium tuberculosis complex)
A26.09.006	Микробиологическое (культуральное) исследование мокроты на микоплазму (Mycoplasma pneumoniae)
A26.09.007	Микробиологическое (культуральное) исследование бронхоальвеолярной лаважной жидкости на микоплазму (Mycoplasma pneumoniae)
A26.09.008	Микробиологическое (культуральное) исследование биоптата легкого на легионеллу пневмонии (Legionella pneumophilia)
A26.09.009	Микробиологическое (культуральное) исследование плеврального экссудата на легионеллу пневмонии (Legionella pneumophilia)
A26.09.010	Микробиологическое (культуральное) исследование мокроты на аэробные и факультативно-анаэробные микроорганизмы
A26.09.011	Микробиологическое (культуральное) исследование лаважной жидкости на аэробные и факультативно-анаэробные микроорганизмы
A26.09.012	Микробиологическое (культуральное) исследование плевральной жидкости на аэробные и факультативно-анаэробные микроорганизмы
A26.09.013	Микробиологическое (культуральное) исследование мокроты абсцессов на неспорообразующие анаэробные микроорганизмы
A26.09.014	Микробиологическое (культуральное) исследование плевральной жидкости на неспорообразующие анаэробные микроорганизмы
A26.09.015	Микробиологическое (культуральное) исследование слизи с задней стенки глотки на палочку коклюша (Bordetella pertussis)
A26.09.016	Микробиологическое (культуральное) исследование мокроты на хламидии (Chlamidia pneumoniae)
A26.09.017	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости на респираторно-синтициальный вирус (Respiratory Syncytial virus)
A26.09.017.001	Определение РНК респираторно-синцитиального вируса (Respiratory Syncytial virus) в бронхоальвеолярной лаважной жидкости методом ПЦР
A26.09.018	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости на аденовирус (Adenovirus)
A26.09.018.001	Определение ДНК аденовируса в бронхоальвеолярной лаважной жидкости методом ПЦР
A26.09.019	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости на вирус гриппа (Influenza virus)
A26.09.019.001	Определение РНК вируса гриппа A в бронхоальвеолярной лаважной жидкости методом ПЦР
A26.09.019.002	Определение РНК вируса гриппа B в бронхоальвеолярной лаважной жидкости методом ПЦР
A26.09.019.003	Определение РНК вируса гриппа C в бронхоальвеолярной лаважной жидкости методом ПЦР
A26.09.020	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости на коронавирусы 229E, OC43, NL63, HKUI
A26.09.020.001	Определение РНК коронавирусов 229E, OC43, NL63, HKUI (Human Coronavirus) в бронхоальвеолярной лаважной жидкости методом ПЦР
A26.09.021	Микроскопическое исследование мокроты на грибы (дрожжевые и мицелиальные)
A26.09.023	Микроскопическое исследование мазков мокроты на криптококк (Cryptococcus neoformans)
A26.09.024	Микробиологическое (культуральное) исследование мокроты на дрожжевые грибы
A26.09.025	Микробиологическое (культуральное) исследование мокроты на мицелиальные грибы
A26.09.026	Микробиологическое (культуральное) исследование мокроты на криптококк (Cryptococcus spp.)
A26.09.027	Микроскопическое исследование бронхоальвеолярной лаважной жидкости на грибы (дрожжевые и мицелиальные)
A26.09.028	Микроскопическое исследование бронхоальвеолярной лаважной жидкости на криптококк (Cryptococcus spp.)
A26.09.029	Микробиологическое (культуральное) исследование мокроты на грибы (дрожжевые и мицелильные)
A26.09.030	Микробиологическое (культуральное) исследование бронхоальвеолярной лаважной жидкости на грибы (дрожжевые и мицелильные)
A26.09.031	Микроскопическое исследование мокроты на личинки гельминтов
A26.09.032	Микроскопическое исследование мокроты на яйца парагонимусов (Paragonimus westermani)
A26.09.033	Микроскопическое исследование мокроты на цисты криптоспоридий (Cryptosporidium parwum)
A26.09.034	Микроскопическое исследование бронхоальвеолярной лаважной жидкости на личинки гельминтов
A26.09.035	Микробиологическое (культуральное) исследование бронхоальвеолярной лаважной жидкости на цисты пневмоцист (Pneumocystis carinii)
A26.09.036	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на вирус гриппа (Influenza virus)
A26.09.036.001	Определение РНК вируса гриппа A в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР
A26.09.036.002	Определение РНК вируса гриппа B в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР
A26.09.036.003	Определение РНК вируса гриппа C в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР
A26.09.037	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на респираторно-синцитиальный вирус (Human Respiratory Syncytial virus)
A26.09.037.001	Определение РНК респираторно-синцитиального вируса (Human Respiratory Syncytial virus) в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР
A26.09.038	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на аденовирус (Human Adenovirus)
A26.09.038.001	Определение ДНК аденовируса (Human Adenovirus) в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР
A26.09.039	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на метапневмовирус (Human Metapneumo virus)
A26.09.039.001	Определение РНК метапневмовируса (Human Metapneumo virus) в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР
A26.09.040	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на вирусы парагриппа (Human Parainfluenza virus)
A26.09.040.001	Определение РНК вирусов парагриппа (Human Parainfluenza virus) в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР
A26.09.041	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на риновирусы (Human Rhinovirus)
A26.09.041.001	Определение РНК риновирусов (Human Rhinovirus) в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР
A26.09.042	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на бокавирус (Human Bocavirus)
A26.09.042.001	Определение ДНК бокавируса (Human Bocavirus) в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР
A26.09.043	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на коронавирусы 229E, OC43, NL63, HKUI (Human Coronavirus)
A26.09.043.001	Определение РНК коронавирусов 229E, OC43, NL63, HKUI (Human Coronavirus) в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР
A26.09.044	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на коронавирус ТОРС (SARS-cov)
A26.09.044.001	Определение РНК коронавируса ТОРС (SARS-cov) в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР
A26.09.045	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на коронавирус БВРС (MERS-cov)
A26.09.045.001	Определение РНК коронавируса БВРС (MERS-cov) в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР
A26.09.046	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на Mycoplasma pneumoniae
A26.09.046.001	Определение ДНК Mycoplasma pneumoniae в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР
A26.09.047	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на Chlamydophila pneumoniae
A26.09.047.001	Определение ДНК Chlamydophila pneumoniae в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР
A26.09.048	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на возбудители коклюша (Bordetella pertussis, Bordetella parapertussis, Bordetella bronchiseprica)
A26.09.048.001	Определение ДНК возбудителей коклюша (Bordetella pertussis, Bordetella parapertussis, Bordetella bronchiseprica) в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР
A26.09.049	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на Legionella pheumophila
A26.09.049.001	Определение ДНК Legionella pheumophila в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах), методом ПЦР
A26.09.050	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на Streptococcus pneumoniae
A26.09.050.001	Определение ДНК Streptococcus pneumoniae в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР, количественное исследование
A26.09.051	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на Haemophilus influenzae
A26.09.051.001	Определение ДНК Haemophilus influenzae в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР, количественное исследование
A26.09.052	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на Moraxella catarrhalis
A26.09.052.001	Определение ДНК Moraxella catarrhalis в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР, количественное исследование
A26.09.053	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на Staphylococcus aureus
A26.09.053.001	Определение ДНК Staphylococcus aureus в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР, количественное исследование
A26.09.054	Молекулярно-биологическое исследование мокроты (индуцированной мокроты, фаринго-трахеальных аспиратов) на Streptococcus pyogenes
A26.09.054.001	Определение ДНК Streptococcus pyogenes в мокроте (индуцированной мокроте, фаринго-трахеальных аспиратах) методом ПЦР, количественное исследование
A26.09.055	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости на метапневмовирус (Human Metapneumovirus)
A26.09.055.001	Определение РНК метапневмовируса (Human Metapneumovirus) в бронхоальвеолярной лаважной жидкости методом ПЦР
A26.09.056	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости на вирусы парагриппа (Human Parainfluenza virus)
A26.09.056.001	Определение РНК вирусов парагриппа (Human Parainfluenza virus) в бронхоальвеолярной лаважной жидкости методом ПЦР
A26.09.057	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости на риновирусы (Human Rhinovirus)
A26.09.057.001	Определение РНК риновирусов (Human Rhinovirus) в бронхоальвеолярной лаважной жидкости методом ПЦР
A26.09.058	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости на бокавирус (Human Bocavirus)
A26.09.058.001	Определение ДНК бокавируса (Human Bocavirus) в бронхоальвеолярной лаважной жидкости методом ПЦР
A26.09.060	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости на коронавирус ТОРС (SARS-cov)
A26.09.060.001	Определение РНК коронавируса ТОРС (SARS-cov) в бронхоальвеолярной лаважной жидкости методом ПЦР
A26.09.061	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости на коронавирус БВРС (MERS-cov)
A26.09.061.001	Определение РНК коронавируса БВРС (MERS-cov) в бронхоальвеолярной лаважной жидкости методом ПЦР
A26.09.062	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости на Mycoplasma pneumoniae
A26.09.062.001	Определение ДНК Mycoplasma pneumoniae в бронхоальвеолярной лаважной жидкости методом ПЦР
A26.09.063	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости на Chlamydophila pneumoniae
A26.09.063.001	Определение ДНК Chlamydophila pneumoniae в бронхоальвеолярной лаважной жидкости методом ПЦР
A26.09.064	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости на Streptococcus pneumoniae
A26.09.064.001	Определение ДНК Streptococcus pneumoniae в бронхоальвеолярной лаважной жидкости методом ПЦР, количественное исследование
A26.09.065	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости на Haemophilus influenzae
A26.09.065.001	Определение ДНК Haemophilus influenzae в бронхоальвеолярной лаважной жидкости методом ПЦР, количественное исследование
A26.09.066	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости на Moraxella catarrhalis
A26.09.066.001	Определение ДНК Moraxella catarrhalis в бронхоальвеолярной лаважной жидкости методом ПЦР, количественное исследование
A26.09.067	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости на Staphylococcus aureus
A26.09.067.001	Определение ДНК Staphylococcus aureus в бронхоальвеолярной лаважной жидкости методом ПЦР, количественное исследование
A26.09.068	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости на Streptococcus pyogenes
A26.09.068.001	Определение ДНК Streptococcus pyogenes в бронхоальвеолярной лаважной жидкости методом ПЦР, количественное исследование
A26.09.070	Молекулярно-биологическое исследование биоптата легкого на Legionella pheumophila
A26.09.070.001	Определение ДНК Legionella pheumophila в биоптате легкого методом ПЦР
A26.09.071	Молекулярно-биологическое исследование мокроты, бронхоальвеолярной лаважной жидкости на цитомегаловирус (Cytomegalovirus)
A26.09.071.001	Определение ДНК цитомегаловируса (Cytomegalovirus) в мокроте, бронхоальвеолярной лаважной жидкости методом ПЦР
A26.09.072	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости, мокроты, эндотрахеального аспирата на Pneumocystis jirovecii
A26.09.072.001	Определение ДНК Pneumocystis jirovecii в мокроте, эндотрахеальном аспирате, бронхоальвеолярной лаважной жидкости методом ПЦР, количественное исследование
A26.09.073	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости, мокроты, эндотрахеального аспирата на Pseudomonas aeruginosa
A26.09.073.001	Определение ДНК Pseudomonas aeruginosa в мокроте, эндотрахеальном аспирате, бронхоальвеолярной лаважной жидкости методом ПЦР
A26.09.074	Молекулярно-биологическое исследование эндотрахеального аспирата на Streptococcus agalactiae (SGB)
A26.09.074.001	Определение ДНК Streptococcus agalactiae (SGB) в эндотрахеальном аспирате методом ПЦР, качественное исследование
A26.09.074.002	Определение ДНК Streptococcus agalactiae (SGB) в эндотрахеальном аспирате методом ПЦР, количественное исследование
A26.09.075	Молекулярно-биологическое исследование бронхоальвеолярной лаважной жидкости, мокроты, эндотрахеального аспирата на метициллин-чувствительные и метициллин-резистентные Staphylococcus aureus, метициллин-резистентные коагулазонегативные Staphylococcus spp.
A26.09.075.001	Определение ДНК метициллин-чувствительных и метициллин-резистентных Staphylococcus aureus, метициллин-резистентных коагулазонегативных Staphylococcus spp. в бронхоальвеолярной лаважной жидкости, мокроте, эндотрахеальном аспирате методом ПЦР, качественное исследование
A26.09.075.002	Определение ДНК метициллин-чувствительных и метициллин-резистентных Staphylococcus aureus, метициллин-резистентных коагулазонегативных Staphylococcus spp. в бронхоальвеолярной лаважной жидкости, мокроте, эндотрахеальном аспирате методом ПЦР, количественное исследование
A26.09.076	Молекулярно-биологическое исследование плевральной жидкости на микобактерии туберкулеза (Mycobacterium tuberculosis complex)
A26.09.076.001	Определение ДНК микобактерий туберкулеза (Mycobacterium tuberculosi scomplex) в плевральной жидкости методом ПЦР
A26.09.077	Молекулярно-биологическое исследование плевральной жидкости для дифференциации видов Mycobacterium tuberculosis complex (M. tuberculosis, M. bovis, M. bovis BCG)
A26.09.077.001	Определение ДНК Mycobacterium tuberculosis complex (M. tuberculosis, M. bovis, M. bovis BCG) с дифференциацией вида в плевральной жидкости методом ПЦР
A26.09.078	Микробиологическое (культуральное) исследование мокроты на бруцеллы (Brucella spp.)
A26.09.079	Молекулярно-биологическое исследование мокроты на коксиеллу Бернета (Coxiella burnetii)
A26.09.079.001	Определение ДНК коксиеллы Бернета (Coxiella burnetii) в мокроте методом ПЦР
A26.09.080	Молекулярно-биологическое исследование мокроты, бронхоальвеолярной лаважной жидкости или промывных вод бронхов на Mycobacterium tuberculosis complex (микобактерии туберкулеза)
A26.09.080.001	Определение ДНК Mycobacterium tuberculosis complex (микобактерий туберкулеза) в мокроте, бронхоальвеолярной лаважной жидкости или промывных водах бронхов методом ПЦР
A26.09.081	Молекулярно-биологическое исследование мокроты, бронхоальвеолярной лаважной жидкости или промывных вод бронхов для дифференциации видов Mycobacterium tuberculosis complex (M. tuberculosis, M. bovis, M. bovis BCG)
A26.09.081.001	Определение ДНК Mycobacterium tuberculosis complex (M. tuberculosis, M. bovis, M. bovis BCG) с дифференциацией вида в мокроте, бронхоальвеолярной лаважной жидкости или промывных водах бронхов методом ПЦР
